model,date_utc,year,task,score,metric,params_b_c1,c1_model_match
0-hero/Matter-0.2-7B-DPO,2024-08-07 12:56:59.913853884+00:00,2024,MuSR,38.095238095238095,"acc_norm,none",7.242,True
0-hero/Matter-0.2-7B-DPO,2024-08-07 12:56:59.913853884+00:00,2024,IFEval,26.247689463955638,"prompt_level_strict_acc,none",7.242,True
0-hero/Matter-0.2-7B-DPO,2024-08-07 12:56:59.913853884+00:00,2024,MATH-Hard,0.8308157099697886,"exact_match,none",7.242,True
0-hero/Matter-0.2-7B-DPO,2024-08-07 12:56:59.913853884+00:00,2024,GPQA,25.922818791946305,"acc_norm,none",7.242,True
0-hero/Matter-0.2-7B-DPO,2024-08-07 12:56:59.913853884+00:00,2024,BBH,35.84447144592953,"acc_norm,none",7.242,True
0-hero/Matter-0.2-7B-DPO,2024-08-07 12:56:59.913853884+00:00,2024,MMLU-Pro,11.63563829787234,"acc,none",7.242,True
01-ai/Yi-1.5-34B,2024-06-18 20:25:35.350012779+00:00,2024,ARC-Challenge,67.23549488054607,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B,2024-06-18 20:25:35.350012779+00:00,2024,MuSR,42.32804232804233,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B,2024-06-18 20:25:35.350012779+00:00,2024,IFEval,21.811460258780038,"prompt_level_strict_acc,none",34.389,True
01-ai/Yi-1.5-34B,2024-06-18 20:25:35.350012779+00:00,2024,MATH-Hard,14.04833836858006,"exact_match,none",34.389,True
01-ai/Yi-1.5-34B,2024-06-18 20:25:35.350012779+00:00,2024,GPQA,36.577181208053695,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B,2024-06-18 20:25:35.350012779+00:00,2024,BBH,59.53827460510328,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B,2024-06-18 20:25:35.350012779+00:00,2024,MMLU-Pro,46.65890957446808,"acc,none",34.389,True
01-ai/Yi-1.5-34B-32K,2024-06-17 10:19:31.767186642+00:00,2024,ARC-Challenge,66.29692832764505,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-32K,2024-06-17 10:19:31.767186642+00:00,2024,MuSR,43.91534391534391,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-32K,2024-06-17 10:19:31.767186642+00:00,2024,IFEval,25.32347504621072,"prompt_level_strict_acc,none",34.389,True
01-ai/Yi-1.5-34B-32K,2024-06-17 10:19:31.767186642+00:00,2024,MATH-Hard,13.444108761329304,"exact_match,none",34.389,True
01-ai/Yi-1.5-34B-32K,2024-06-17 10:19:31.767186642+00:00,2024,GPQA,36.3255033557047,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-32K,2024-06-17 10:19:31.767186642+00:00,2024,BBH,59.81600416594341,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-32K,2024-06-17 10:19:31.767186642+00:00,2024,MMLU-Pro,47.09109042553192,"acc,none",34.389,True
01-ai/Yi-1.5-34B-Chat,2024-06-16 17:24:36.590114117+00:00,2024,ARC-Challenge,67.57679180887372,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-Chat,2024-06-16 17:24:36.590114117+00:00,2024,MuSR,42.72486772486773,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-Chat,2024-06-16 17:24:36.590114117+00:00,2024,IFEval,55.26802218114602,"prompt_level_strict_acc,none",34.389,True
01-ai/Yi-1.5-34B-Chat,2024-06-16 17:24:36.590114117+00:00,2024,MATH-Hard,23.338368580060422,"exact_match,none",34.389,True
01-ai/Yi-1.5-34B-Chat,2024-06-16 17:24:36.590114117+00:00,2024,GPQA,36.49328859060403,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-Chat,2024-06-16 17:24:36.590114117+00:00,2024,BBH,60.649192848463805,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-Chat,2024-06-16 17:24:36.590114117+00:00,2024,MMLU-Pro,45.20445478723404,"acc,none",34.389,True
01-ai/Yi-1.5-34B-Chat-16K,2024-07-17 09:26:00.739881516+00:00,2024,MuSR,43.91534391534391,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-Chat-16K,2024-07-17 09:26:00.739881516+00:00,2024,IFEval,39.37153419593346,"prompt_level_strict_acc,none",34.389,True
01-ai/Yi-1.5-34B-Chat-16K,2024-07-17 09:26:00.739881516+00:00,2024,MATH-Hard,18.806646525679756,"exact_match,none",34.389,True
01-ai/Yi-1.5-34B-Chat-16K,2024-07-17 09:26:00.739881516+00:00,2024,GPQA,33.808724832214764,"acc_norm,none",34.389,True
01-ai/Yi-1.5-34B-Chat-16K,2024-07-17 09:26:00.739881516+00:00,2024,BBH,60.70126714112133,"acc_norm,none",34.389,True
