mixture_domain,mean_t,median_t,positive_loss_domains,negative_loss_domains
enron_emails,-0.9850072711552802,-1.2559669831080345,5,8
nih_exporter,-0.6319584035984634,0.0754647995909958,7,6
hackernews,-0.43634333305081235,1.2484668236657748,10,3
philpapers,-0.37999245840948503,-0.3687560993215864,6,7
ubuntu_irc,-0.32578330203365186,1.3154777235388706,12,1
stackexchange,-0.2494665103716468,1.7672590406149444,11,2
freelaw,-0.17512206332205119,2.0982029698291758,12,1
pubmed_central,-0.1698261940813164,2.0445718104808006,11,2
arxiv,-0.11019229445025987,2.097906618722893,12,1
gutenberg_pg_19,0.07412701344481912,1.8269951146165109,12,1
wikipedia_en,0.12386181813326877,1.816460203352724,11,2
github,0.189595277647965,2.065417847209872,11,2
dm_mathematics,0.23555468907791402,2.085030674793366,12,1
pubmed_abstracts,0.29399495963986844,2.019108929012047,12,1
uspto_backgrounds,0.39970922129989905,2.0330472196417566,12,1
pile_cc,0.8947868689128124,1.6759583959445128,12,1
europarl,1.2520619823164185,1.384897835099217,13,0
