mix_effect_scale,mix_kl_penalty,domain,share,p0,share_multiple
0.016,0.006,arxiv,0.12156642887367515,0.11302252583217468,1.0755946921075465
0.016,0.006,freelaw,0.08531094758045465,0.09682483215160405,0.881085416671609
0.016,0.006,nih_exporter,0.0031621703283703697,0.005889680217640528,0.5369001731026358
0.016,0.006,pubmed_central,0.1858606599217377,0.11375419104995738,1.6338796681355974
0.016,0.006,wikipedia_en,0.06458698425980879,0.07507775607969777,0.860267909329194
0.016,0.006,dm_mathematics,0.02376133144783883,0.02546285409735114,0.9331762793358928
0.016,0.006,github,0.07144279651456917,0.11070066006999096,0.6453692007744051
0.016,0.006,philpapers,0.0035564880905934204,0.005487697351757549,0.6480838615224255
0.016,0.006,stackexchange,0.2053823580155397,0.09943242344369017,2.065547141490022
0.016,0.006,enron_emails,0.004343114041335432,0.0022110330440804327,1.9642917834101075
0.016,0.006,gutenberg_pg_19,0.0415334074364058,0.04691494424769629,0.8852916294032527
0.016,0.006,pile_cc,0.021350002909157284,0.11948759779117796,0.17867965633110755
0.016,0.006,ubuntu_irc,0.05797020823351334,0.019599998284382344,2.957663944272134
0.016,0.006,europarl,0.004967285459351363,0.012737064754468426,0.38998666922916725
0.016,0.006,hackernews,0.008753701681943957,0.01165082237856243,0.7513376650605207
0.016,0.006,pubmed_abstracts,0.035838936648063376,0.06618116611255062,0.5415277299150953
0.016,0.006,uspto_backgrounds,0.06061317855764178,0.07556475309321728,0.8021355999518569
0.016,0.03,arxiv,0.12642709704482175,0.11302252583217468,1.1186008816733692
0.016,0.03,freelaw,0.11107021382867487,0.09682483215160405,1.1471252917305967
0.016,0.03,nih_exporter,0.008915688478169054,0.005889680217640528,1.5137814191448205
0.016,0.03,pubmed_central,0.13003012365219738,0.11375419104995738,1.143079850087388
0.016,0.03,wikipedia_en,0.07303851613118725,0.07507775607969777,0.9728382938570275
0.016,0.03,dm_mathematics,0.023290297317016893,0.02546285409735114,0.9146774052889752
0.016,0.03,github,0.10339456806872083,0.11070066006999096,0.9340013691277828
0.016,0.03,philpapers,0.0069962893623518665,0.005487697351757549,1.274904374985468
0.016,0.03,stackexchange,0.11872979309421569,0.09943242344369017,1.1940752219667448
0.016,0.03,enron_emails,0.0033651025379402752,0.0022110330440804327,1.5219594057852806
0.016,0.03,gutenberg_pg_19,0.04771781396646169,0.04691494424769629,1.0171133043348939
0.016,0.03,pile_cc,0.07749381547335149,0.11948759779117796,0.6485511208350113
0.016,0.03,ubuntu_irc,0.023988445205063404,0.019599998284382344,1.2239003726943107
0.016,0.03,europarl,0.006565356876755133,0.012737064754468426,0.515452893057788
0.016,0.03,hackernews,0.015131083429864255,0.01165082237856243,1.298713767854321
0.016,0.03,pubmed_abstracts,0.059010090119956685,0.06618116611255062,0.8916447621911272
0.016,0.03,uspto_backgrounds,0.06483570541325137,0.07556475309321728,0.8580151824656865
0.016,0.15,arxiv,0.12081272804352616,0.11302252583217468,1.0689261025976275
0.016,0.15,freelaw,0.09916547689371531,0.09682483215160405,1.0241740129065897
0.016,0.15,nih_exporter,0.006527881398222167,0.005889680217640528,1.1083592244397453
0.016,0.15,pubmed_central,0.11693240862557454,0.11375419104995738,1.0279393448828746
0.016,0.15,wikipedia_en,0.07479029035592827,0.07507775607969777,0.996171093293407
0.016,0.15,dm_mathematics,0.025006898548367112,0.02546285409735114,0.982093305517096
0.016,0.15,github,0.10611343237176073,0.11070066006999096,0.9585618758250408
0.016,0.15,philpapers,0.0057473091713962305,0.005487697351757549,1.0473079696269212
0.016,0.15,stackexchange,0.10285373985202849,0.09943242344369017,1.0344084584268012
0.016,0.15,enron_emails,0.0024121535994677734,0.0022110330440804327,1.0909622567269168
0.016,0.15,gutenberg_pg_19,0.047161504427087955,0.04691494424769629,1.0052554720749514
0.016,0.15,pile_cc,0.10958972431641952,0.11948759779117796,0.9171640098409508
0.016,0.15,ubuntu_irc,0.020627473398748788,0.019599998284382344,1.0524222043011684
0.016,0.15,europarl,0.01131994112138663,0.012737064754468426,0.888740172056938
