loss_domain,model,best_alpha,cv_rmse,r2,rmse,spearman
metric/the_pile_arxiv_val_loss,data_mixing_exponential,0.01,0.4319529110858744,0.8246401150674383,0.32645648788175274,0.9589014934767679
metric/the_pile_dm_mathematics_val_loss,quadratic_interaction_ridge,10.0,0.6350842389790204,0.8623359751816612,0.5689366986902683,0.8898289082169831
metric/the_pile_freelaw_val_loss,data_mixing_exponential,0.001,0.1950106092387565,0.9298648450100845,0.1951798683601977,0.9790155069810024
metric/the_pile_github_val_loss,data_mixing_exponential,0.01,0.4192731882027849,0.8739214809191822,0.327125077764165,0.9752439059281298
metric/the_pile_gutenberg_pg_19_val_loss,data_mixing_exponential,0.01,0.14602795605852298,0.9164092356182333,0.1297145130909473,0.9771035992217898
metric/the_pile_hackernews_val_loss,data_mixing_exponential,0.01,0.15823398457771762,0.8157076303460521,0.14436790022398208,0.9088042172121766
metric/the_pile_pile_cc_val_loss,data_mixing_exponential,0.01,0.09986115834088465,0.9162866322276995,0.09272991920420276,0.9650012874799725
metric/the_pile_pubmed_abstracts_val_loss,data_mixing_exponential,1e-08,0.1673392118169757,0.9446593947118168,0.13416279259862599,0.9910820553902494
metric/the_pile_pubmed_central_val_loss,data_mixing_exponential,0.001,0.3308243073939852,0.8996445968390715,0.26489234396783146,0.9535605973907072
metric/the_pile_stackexchange_val_loss,data_mixing_exponential,0.001,0.29855177907200997,0.858590033261337,0.24971110125969836,0.9776636530098419
metric/the_pile_ubuntu_irc_val_loss,quadratic_interaction_ridge,10.0,0.4366153944222412,0.8429740147576003,0.39524119356624493,0.8838743133440145
metric/the_pile_uspto_backgrounds_val_loss,data_mixing_exponential,1e-08,0.12029200733655483,0.9558907623628393,0.10712898855470762,0.9782215609979398
metric/the_pile_wikipedia_en_val_loss,data_mixing_exponential,0.0001,0.15735491800788523,0.923840952473461,0.15078180668361893,0.9681584744792857
