loss_domain,gain_domain,replaced_domain,delta_log_excess_loss_per_unit_share,interpretation
metric/the_pile_arxiv_val_loss,arxiv,freelaw,-28.284271247344858,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,nih_exporter,-29.082660516535796,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,pubmed_central,-27.1680599136672,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,wikipedia_en,-28.111321528328496,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,dm_mathematics,-27.189397193338873,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,github,-27.915746387786754,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,philpapers,-24.424358895338436,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,stackexchange,-26.338276881864655,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,enron_emails,-31.232939655547312,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,gutenberg_pg_19,-27.914749843008444,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,pile_cc,-27.995514682915346,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,ubuntu_irc,-27.729241966490736,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,europarl,-26.364077233474415,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,hackernews,-27.960247587686844,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,pubmed_abstracts,-27.84475574965874,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,arxiv,uspto_backgrounds,-27.90382204610905,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,nih_exporter,-0.7983892691909382,increase gain_domain share by replacing replaced_domain share; conditional association
