appendix_pair,scale,data_status,loss_domain,n,exact_recipe_overlap_with_A4_A5,alpha_from_training_cv,r2,rmse,mae,spearman,A6_A7_mae,error_amplification_vs_A6_A7
A6-A7,1M,observed held-out,arxiv,256,0,0.01,0.8246401150674383,0.32645648788175274,0.25444106138021905,0.9589014934767679,0.25444106138021905,1.0
A6-A7,1M,observed held-out,freelaw,256,0,0.001,0.9298648450100845,0.1951798683601977,0.15810514870597905,0.9790155069810024,0.15810514870597905,1.0
A6-A7,1M,observed held-out,pubmed_central,256,0,0.001,0.8996445968390715,0.26489234396783146,0.20782575245849955,0.9535605973907072,0.20782575245849955,1.0
A6-A7,1M,observed held-out,wikipedia_en,256,0,0.0001,0.923840952473461,0.15078180668361893,0.124758196915216,0.9681584744792857,0.124758196915216,1.0
A6-A7,1M,observed held-out,dm_mathematics,256,0,0.01,0.6776379548252851,0.8706140434653984,0.7729592843502657,0.8599729629205766,0.7729592843502657,1.0
A6-A7,1M,observed held-out,github,256,0,0.01,0.8739214809191822,0.327125077764165,0.2547825395269766,0.9752439059281298,0.2547825395269766,1.0
A6-A7,1M,observed held-out,stackexchange,256,0,0.001,0.858590033261337,0.24971110125969836,0.20292787976983861,0.9776636530098419,0.20292787976983861,1.0
A6-A7,1M,observed held-out,gutenberg_pg_19,256,0,0.01,0.9164092356182333,0.1297145130909473,0.09454699875581123,0.9771035992217898,0.09454699875581123,1.0
A6-A7,1M,observed held-out,pile_cc,256,0,0.01,0.9162866322276995,0.09272991920420276,0.0712072644806841,0.9650012874799725,0.0712072644806841,1.0
A6-A7,1M,observed held-out,ubuntu_irc,256,0,0.01,0.7578664170826594,0.49079932056469106,0.4000529850371106,0.8467240787365528,0.4000529850371106,1.0
A6-A7,1M,observed held-out,hackernews,256,0,0.01,0.8157076303460521,0.14436790022398208,0.1145728062887775,0.9088042172121766,0.1145728062887775,1.0
A6-A7,1M,observed held-out,pubmed_abstracts,256,0,1e-08,0.9446593947118168,0.13416279259862599,0.107690204836207,0.9910820553902494,0.107690204836207,1.0
A6-A7,1M,observed held-out,uspto_backgrounds,256,0,1e-08,0.9558907623628393,0.10712898855470762,0.08652614046091202,0.9782215609979398,0.08652614046091202,1.0
A8-A9,60M,observed cross-scale,arxiv,256,0,0.01,-8.165748441183558,1.7253782300393392,1.6798329906482659,0.961782587548638,0.25444106138021905,6.602051498826442
A8-A9,60M,observed cross-scale,freelaw,256,0,0.001,-3.526335829066203,1.3704834930790948,1.353118496081167,0.9749134527351795,0.15810514870597905,8.558345551399468
A8-A9,60M,observed cross-scale,pubmed_central,256,0,0.001,-8.529244085452355,1.7558340650101567,1.7216627823376118,0.9546692607003889,0.20782575245849955,8.28416479657115
A8-A9,60M,observed cross-scale,wikipedia_en,256,0,0.0001,-6.585127854032284,1.3789835937371997,1.3714033766240425,0.9679317349507895,0.124758196915216,10.992491159166319
A8-A9,60M,observed cross-scale,dm_mathematics,256,0,0.01,-3.025377334437821,1.5413672519823587,1.3589900943251039,0.8488040741588463,0.7729592843502657,1.7581651735607835
A8-A9,60M,observed cross-scale,github,256,0,0.01,-12.621132009233138,2.5324261564789574,2.503132309295551,0.9706790741588462,0.2547825395269766,9.824583403332147
A8-A9,60M,observed cross-scale,stackexchange,256,0,0.001,-8.09177890114396,1.6774178925028755,1.6582849723024369,0.974723191805905,0.20292787976983861,8.171794699591148
A8-A9,60M,observed cross-scale,gutenberg_pg_19,256,0,0.01,-5.372803678254956,0.9716136966951601,0.9633630076290224,0.9758468757152665,0.09454699875581123,10.189250005884617
A8-A9,60M,observed cross-scale,pile_cc,256,0,0.01,-10.664408362125908,1.0718204805975053,1.0678372145507131,0.9591968986037993,0.0712072644806841,14.996183638544041
A8-A9,60M,observed cross-scale,ubuntu_irc,256,0,0.01,-7.345542718700548,2.02975953682155,1.9732753326174173,0.8416285191119247,0.4000529850371106,4.93253495517442
A8-A9,60M,observed cross-scale,hackernews,256,0,0.01,-9.35331001948413,0.9911448823293735,0.9807962203257852,0.901277466239414,0.1145728062887775,8.560462574807815
A8-A9,60M,observed cross-scale,pubmed_abstracts,256,0,1e-08,-5.110693166414141,1.3522067020224027,1.3453915411199335,0.9881995307850766,0.107690204836207,12.493165401312279
A8-A9,60M,observed cross-scale,uspto_backgrounds,256,0,1e-08,-9.371511963541124,1.3920893782772477,1.3852216230181076,0.9643682764934766,0.08652614046091202,16.0092847738179
A10-A11,1B,observed cross-scale,arxiv,64,0,0.01,-525.7545905898278,2.407964274840103,2.3926848577835833,0.9907967032967033,0.25444106138021905,9.403689973640384
A10-A11,1B,observed cross-scale,freelaw,64,0,0.001,-403.0338919051345,2.784882574490122,2.7625802625434543,0.984157509157509,0.15810514870597905,17.473056919107037
A10-A11,1B,observed cross-scale,pubmed_central,64,0,0.001,-2344.6184970529284,2.537925295940245,2.5348750152280894,0.9189102564102564,0.20782575245849955,12.197116984981326
A10-A11,1B,observed cross-scale,wikipedia_en,64,0,0.0001,-373.1759873022605,3.060532501504565,3.053480302248331,0.9758241758241757,0.124758196915216,24.47518782532129
A10-A11,1B,observed cross-scale,dm_mathematics,64,0,0.01,-77.02291089681528,2.625807301518226,2.4316993967048717,0.8166666666666665,0.7729592843502657,3.1459605259142593
A10-A11,1B,observed cross-scale,github,64,0,0.01,-922.6054438713923,3.6478552186603337,3.6257756082828685,0.97760989010989,0.2547825395269766,14.230863759402038
A10-A11,1B,observed cross-scale,stackexchange,64,0,0.001,-577.1939477585527,3.1065553523859273,3.0845621606192752,0.9789377289377289,0.20292787976983861,15.200287728417576
A10-A11,1B,observed cross-scale,gutenberg_pg_19,64,0,0.01,-112.14041003526017,2.5739665319072516,2.5709021094935425,0.8679945054945053,0.09454699875581123,27.191789727069732
A10-A11,1B,observed cross-scale,pile_cc,64,0,0.01,-592.4493669690729,2.4547133997160016,2.453456778853682,0.9872710622710622,0.0712072644806841,34.45514719244993
A10-A11,1B,observed cross-scale,ubuntu_irc,64,0,0.01,-96.55468990276651,4.176153676836395,4.1368172565092625,0.712087912087912,0.4000529850371106,10.340673388865012
A10-A11,1B,observed cross-scale,hackernews,64,0,0.01,-133.423111936737,2.2826682013973163,2.276870366018899,0.6348443223443223,0.1145728062887775,19.872694400799713
A10-A11,1B,observed cross-scale,pubmed_abstracts,64,0,1e-08,-612.4648303090758,2.8010362893912863,2.7955624063045867,0.9228479853479851,0.107690204836207,25.95930066765625
A10-A11,1B,observed cross-scale,uspto_backgrounds,64,0,1e-08,-371.4376692779383,2.7107051262181616,2.6997919051999375,0.9804487179487179,0.08652614046091202,31.202037798271636
A12-A13,10B,estimated cross-scale,arxiv,63,63,0.01,-127.76158093985435,3.4695973246740643,3.393847206099129,0.8746639784946236,0.25444106138021905,13.338441475165832
A12-A13,10B,estimated cross-scale,freelaw,63,63,0.001,-128.93001909989854,3.511422851743487,3.4720252589602763,0.8069796466973886,0.15810514870597905,21.96022891966057
A12-A13,10B,estimated cross-scale,pubmed_central,63,63,0.001,-198.4873644454568,3.5301101478933026,3.467416853460085,0.7590245775729647,0.20782575245849955,16.684250206925096
A12-A13,10B,estimated cross-scale,wikipedia_en,63,63,0.0001,-279.4157075430324,3.8583726743554196,3.833066243118077,0.455080047175226,0.124758196915216,30.72396313745202
A12-A13,10B,estimated cross-scale,dm_mathematics,63,63,0.01,-47.224465459897985,2.9404039051645263,2.833853771688133,0.7502400153609831,0.7729592843502657,3.6662393855197877
A12-A13,10B,estimated cross-scale,github,63,63,0.01,-181.6416669487429,3.6855149912693275,3.598927792599976,0.764304915514593,0.2547825395269766,14.125488345008502
A12-A13,10B,estimated cross-scale,stackexchange,63,63,0.001,-356.77053378833733,3.576296425033988,3.514911646769912,0.653137638507556,0.20292787976983861,17.32098936211493
A12-A13,10B,estimated cross-scale,gutenberg_pg_19,63,63,0.01,-279.1738080354788,3.57958004643364,3.560867061704711,0.4672139016897081,0.09454699875581123,37.66240185901032
A12-A13,10B,estimated cross-scale,pile_cc,63,63,0.01,-328.6311679537418,3.817204241461617,3.805109039079673,0.21870199692780337,0.0712072644806841,53.43709053887134
A12-A13,10B,estimated cross-scale,ubuntu_irc,63,63,0.01,-207.81216957622746,4.477622448987352,4.429747085431554,0.5887576804915514,0.4000529850371106,11.072900968407053
A12-A13,10B,estimated cross-scale,hackernews,63,63,0.01,-436.32433390736674,3.590167981468719,3.5747824138308206,0.18985215053763443,0.1145728062887775,31.200967573585334
A12-A13,10B,estimated cross-scale,pubmed_abstracts,63,63,1e-08,-282.55717501580585,3.617644019857824,3.5897865589574787,0.4675979262672811,0.107690204836207,33.334383237708735
A12-A13,10B,estimated cross-scale,uspto_backgrounds,63,63,1e-08,-232.65266304218233,3.424920959645119,3.3987609337794606,0.5417451726721317,0.08652614046091202,39.280163378081596
A14-A15,70B,estimated cross-scale,arxiv,63,63,0.01,-256.4098191268785,3.8389462212149232,3.757269428321352,0.8256048387096774,0.25444106138021905,14.766757409122539
A14-A15,70B,estimated cross-scale,freelaw,63,63,0.001,-221.8041923339027,3.884003168050325,3.8421189097539274,0.7427515360983103,0.15810514870597905,24.30103599534852
A14-A15,70B,estimated cross-scale,pubmed_central,63,63,0.001,-363.8864204809411,3.900436528331526,3.8352168534600843,0.6599942396313364,0.20782575245849955,18.454002009331994
A14-A15,70B,estimated cross-scale,wikipedia_en,63,63,0.0001,-419.538101878174,4.2716212033261725,4.246628147879982,0.3733678955453149,0.124758196915216,34.03887081476445
A14-A15,70B,estimated cross-scale,dm_mathematics,63,63,0.01,-99.34761499662143,3.2371500042897114,3.1256394859738474,0.726478494623656,0.7729592843502657,4.043731085526967
A14-A15,70B,estimated cross-scale,github,63,63,0.01,-351.2804309563653,4.0706604950814125,3.981096046568231,0.6703149001536098,0.2547825395269766,15.625466540836912
A14-A15,70B,estimated cross-scale,stackexchange,63,63,0.001,-647.9923375294018,3.953012583195049,3.890178313436578,0.5225917170081221,0.20292787976983861,19.17025062228428
A14-A15,70B,estimated cross-scale,gutenberg_pg_19,63,63,0.01,-423.66693398040735,3.9631470216923135,3.9444797601174098,0.37860023041474655,0.09454699875581123,41.71977759235818
A14-A15,70B,estimated cross-scale,pile_cc,63,63,0.01,-466.22975285850794,4.225944125276333,4.214534435905071,0.15970622119815667,0.0712072644806841,59.18686059128586
A14-A15,70B,estimated cross-scale,ubuntu_irc,63,63,0.01,-373.09030248640914,4.960453548303664,4.910799466383934,0.47840435876571397,0.4000529850371106,12.275372638272872
A14-A15,70B,estimated cross-scale,hackernews,63,63,0.01,-607.0395953488224,3.977057379217664,3.962077651926059,0.08894969278033794,0.1145728062887775,34.581309302486275
A14-A15,70B,estimated cross-scale,pubmed_abstracts,63,63,1e-08,-432.62796899574926,4.0037742197847095,3.976129416100336,0.3472542242703533,0.107690204836207,36.92192267762782
A14-A15,70B,estimated cross-scale,uspto_backgrounds,63,63,1e-08,-365.37560253638,3.791152935988748,3.764803790922318,0.47118546445658555,0.08652614046091202,43.51059426512915
