domain,sample_text_excerpt,interpretation_boundary
arxiv,"--- abstract: 'The role of the spatial structure of a turbulent flow in enhancing particle collision rates in suspensions is an open question. We show and quantify, as a function of particle inertia, the correlation between the multiscale structures of turbulence and particle collisions: Straining zones contribute predominantly to rapid head-on collisions co",illustrative source text only; not a quality label or conflict case
dm_mathematics,"b be o(-2). Suppose -1 = -2*i + 2*z - 23, -3*i - 5*z = b. What is the remainder when 8/6*(-306)/i is divided by 12? 10 What is the remainder when -4*(-4 - -1) - -1 is divided by 5? 3 Suppose y + 7 - 19 = 0. What is the remainder when 21 is divided by y? 9 Suppose 0 = -3*k + 4 + 8. Suppose 2*x - 7*x - c = -115, -2*c = 0. Suppose 4*z - 40 = -2*s, -40 = -5*z + ",illustrative source text only; not a quality label or conflict case
enron_emails,pls print this email also. thanks df ---------------------- Forwarded by Drew Fossum/ET&S/Enron on 03/20/2001 04:37 PM --------------------------- From: Michael P Moran/ENRON@enronXgate on 03/20/2001 02:08 PM To: Rod Hayslett/ENRON@enronXgate cc: Drew Fossum/ET&S/Enron@ENRON Subject: RE: ETS Approval Authorization Policy I think one area that needs to be cla,illustrative source text only; not a quality label or conflict case
europarl,"Ramy kwalifikacji dla uczenia się przez całe życie (debata) Przewodniczący Następnym punktem porządku obrad jest sprawozdanie Mario Mantovaniego, w imieniu Komisji Zatrudnienia i Spraw Socjalnych, w sprawie wniosku dotyczącego zalecenia Parlamentu Europejskiego i Rady w sprawie ustanowienia europejskich ram kwalifikacji dla uczenia się przez całe życie - C6-",illustrative source text only; not a quality label or conflict case
freelaw,"720 N.W.2d 716 (2006) 2006 WI App 132 Linda T. PETERSON, Plaintiff-Appellant, v. CORNERSTONE PROPERTY DEVELOPMENT, LLC, Defendant-Respondent. No. 2004AP3358. Court of Appeals of Wisconsin. June 13, 2006. On behalf of the plaintiff-appellant, the cause was submitted on the briefs of Jordan B. Reich of Kohner, Mann & Kailas, S.C., of Milwaukee, with oral argum",illustrative source text only; not a quality label or conflict case
github,"grammar Poly; options { output=AST; language=ObjC; } tokens { MULT; } // imaginary token poly: term ('+'^ term)* ; term: INT ID -> ^(MULT[@""*""] INT ID) | INT exp -> ^(MULT[@""*""] INT exp) | exp | INT | ID ; exp : ID '^'^ INT ; ID returns [NSString *value] : 'a'..'z'+ ; INT returns [NSString *value] : '0'..'9'+ ; WS : (' '|'\t'|'\r'|'\n')+ { $channel=HIDDEN; }",illustrative source text only; not a quality label or conflict case
gutenberg_pg_19,"Produced by Jason Isbell, Stacy Brown Thellend and the Online Distributed Proofreading Team at http://www.pgdp.net Merged with an earlier text produced by Juliet Sutherland, Thomas Hutchinson and the Online Distributed Proofreading Team [Illustration] TALES OF DARING AND DANGER. [Illustration] [Illustration: SIGHTING THE WRECK OF THE STEAMER.] TALES OF DARIN",illustrative source text only; not a quality label or conflict case
hackernews,"How Freud’s Only Visit to America Made Him Hate the US for the Rest of His Life - protomyth http://mentalfloss.com/article/501060/man-buys-two-metric-tons-lego-bricks-sorts-them-machine-learning ====== Fricken Might wanna try posting this again, you're linking to a story about the guy who built a crazy Lego sorting machine. ~~~ Zuider The submitter linked to",illustrative source text only; not a quality label or conflict case
nih_exporter,"Potassium channels in the renal cortical collecting tubule (CCT) play an important role in potassium (K) secretion by the kidney and help to maintain the body's overall K balance. In this nephron segment, potassium secretion rates depend on both the apical membrane K permeability and the electrochemical driving forces for K across the apical membrane. The ap",illustrative source text only; not a quality label or conflict case
philpapers,"S.Ph. Essays and Explorations 1.2 25 ""Part of that force that always wills the evil and always produces the good"" On a Devilish Incoherence Peter Baumann When Mephisto was asked by Faust, ""Well now, who are you then?"" (""Nun gut, wer bist Du denn?""), he gave the well-known answer, ""Part of that force that always wills the evil and always produces the good"" (""",illustrative source text only; not a quality label or conflict case
pile_cc,"Mud Hens pitcher Evan Reed charged with sexual assault Mud Hens pitcher Evan Reed was charged July 30 with sexual assault related to a March incident in Detroit when he was a member of the Detroit Tigers. Evan Reed Reed, 28, was charged with two counts of criminal sexual conduct for alleged committing “an act of penetration through force or coercion” when he",illustrative source text only; not a quality label or conflict case
pubmed_abstracts,"One-year follow-up of patients treated for dental fear: effects of cognitive therapy, applied relaxation, and nitrous oxide sedation. The effects of dental fear treatments were assessed in a 1-year follow-up study. Sixty-two patients had finished a controlled study in which they were randomly allocated to nitrous oxide sedation (NO), cognitive therapy (CT), ",illustrative source text only; not a quality label or conflict case
pubmed_central,Background {#Sec1} ========== The clinical importance of lumbar disc degeneration as measured on MRI remains controversial and uncertain. This may in part be due to the challenges in accurately and reproducibly measuring disc degeneration. Most studies investigating disc degeneration use a subjective assessment which categorize discs into different levels of,illustrative source text only; not a quality label or conflict case
stackexchange,"Q: Show message dialog Is it possible to display a QML dialog when the user hits a button in a QML window? Example: When the user clicks in the menu bar on Help -> About the About dialog should be displayed: import QtQuick 2.12 import QtQuick.Layouts 1.12 import QtQuick.Window 2.12 import QtQuick.Controls 2.12 import ""components"" ApplicationWindow { id: wind",illustrative source text only; not a quality label or conflict case
ubuntu_irc,#ubuntu-design 2012-06-19 <warp10> Hi all guys! <warp10> Is this picture available in higher resolution somehwere? --> http://www.ubuntu.com/sites/www.ubuntu.com/files/active/02_ubuntu/U_business/desktop-release-nov-2011.png #ubuntu-design 2012-06-21 <c3sso> hello. does somebody know why the themes from .themes aren not shown in appearance panel ? #ubuntu-de,illustrative source text only; not a quality label or conflict case
uspto_backgrounds,"The invention relates to an expansion joint for part of a railway track disposed on a foundation which has a stock rail with a stock rail head, web and foot and a tongue movable with respect to and along said stock rail, upon which tongue at least one fastening means acts to press it onto the head of the stock rail. In known expansion joints, also designated",illustrative source text only; not a quality label or conflict case
