split,loss_domain,n,r2,rmse,mae,spearman
test,metric/the_pile_arxiv_val_loss,256,0.7544938793042555,0.38627032065040795,0.30863803114897714,0.9163588635843442
test_60m,metric/the_pile_arxiv_val_loss,256,-8.448273285148938,1.7517679263357682,1.700819915914426,0.9195253490501257
test_1b,metric/the_pile_arxiv_val_loss,64,-561.0179696700986,2.487258797351595,2.4743396337499672,0.7873626373626373
test,metric/the_pile_freelaw_val_loss,256,0.8316004086487516,0.30243890490309866,0.24720987427351654,0.9183530270084685
test_60m,metric/the_pile_freelaw_val_loss,256,-3.758191692892817,1.4051458002598707,1.37410457934013,0.9173001544975965
test_1b,metric/the_pile_freelaw_val_loss,64,-457.6960403423923,2.9672933605587177,2.9631107280071554,0.8983516483516482
test,metric/the_pile_pubmed_central_val_loss,256,0.8596656070250513,0.3132427921857101,0.24953958890971015,0.9400570782787822
test_60m,metric/the_pile_pubmed_central_val_loss,256,-8.835148655569345,1.7837940426622207,1.7519730558778923,0.9298294804303042
test_1b,metric/the_pile_pubmed_central_val_loss,64,-2804.818120857046,2.7757471555155373,2.770937729823223,0.7792582417582417
test,metric/the_pile_wikipedia_en_val_loss,256,0.7967531860282683,0.24632022013524169,0.19918655524310627,0.9039661535820552
test_60m,metric/the_pile_wikipedia_en_val_loss,256,-6.897574369562271,1.407098527536813,1.387099012421263,0.8943636987869076
test_1b,metric/the_pile_wikipedia_en_val_loss,64,-382.725788540541,3.0993422234504098,3.0953135433671646,0.9373168498168496
test,metric/the_pile_dm_mathematics_val_loss,256,0.8498624145926594,0.5941531864371228,0.4870728995473745,0.9018089093614098
test_60m,metric/the_pile_dm_mathematics_val_loss,256,-3.187654272393485,1.572129217793321,1.41154990897541,0.9091318093385211
test_1b,metric/the_pile_dm_mathematics_val_loss,64,-92.67044760957658,2.8770875312362034,2.6752894916937207,0.9319139194139194
test,metric/the_pile_github_val_loss,256,0.7366887229801573,0.47274617003720515,0.3834021026657324,0.8854464694438084
test_60m,metric/the_pile_github_val_loss,256,-12.9154744330554,2.5596418275696258,2.5122578752624714,0.8836232547493704
test_1b,metric/the_pile_github_val_loss,64,-965.5587046671757,3.7317150087459634,3.72202140944645,0.79253663003663
test,metric/the_pile_stackexchange_val_loss,256,0.6952628854466923,0.36657303516008927,0.2956031670998308,0.8843235008010984
test_60m,metric/the_pile_stackexchange_val_loss,256,-8.51614165810506,1.7161185568768904,1.678947333732987,0.8860508697642481
test_1b,metric/the_pile_stackexchange_val_loss,64,-569.509974789327,3.0858438533349424,3.0777503909412482,0.8808608058608057
test,metric/the_pile_gutenberg_pg_19_val_loss,256,0.7154725073285737,0.23931589231250194,0.18999894998449576,0.8755149919890134
test_60m,metric/the_pile_gutenberg_pg_19_val_loss,256,-6.056981623977255,1.0224400473544026,1.0011422692142617,0.8747024490730143
test_1b,metric/the_pile_gutenberg_pg_19_val_loss,64,-123.03273711203268,2.6950211968009232,2.6928693573557743,0.923168498168498
test,metric/the_pile_pile_cc_val_loss,256,0.6832557373926251,0.1803752113337732,0.14474363686869213,0.8491659990844587
test_60m,metric/the_pile_pile_cc_val_loss,256,-11.46016714559176,1.1077777237385045,1.0927159866175526,0.8344300755321583
test_1b,metric/the_pile_pile_cc_val_loss,64,-680.543167639794,2.630605005065135,2.629429618192316,0.716941391941392
test,metric/the_pile_ubuntu_irc_val_loss,256,0.8188162914805613,0.42455700501394394,0.3424755403639462,0.8738391222247652
test_60m,metric/the_pile_ubuntu_irc_val_loss,256,-7.734352255477713,2.07650341577898,2.0245537823910693,0.867346646829938
test_1b,metric/the_pile_ubuntu_irc_val_loss,64,-108.88545934713068,4.432232248937298,4.3984168957138134,0.8822344322344321
test,metric/the_pile_hackernews_val_loss,256,0.6772788818177016,0.19104279157982104,0.15223469187638178,0.8485894941634239
test_60m,metric/the_pile_hackernews_val_loss,256,-10.1031801540967,1.0264108323413548,1.0097688849996573,0.8352862497138932
test_1b,metric/the_pile_hackernews_val_loss,64,-146.87768592928597,2.3941818782244724,2.3925755579316195,0.8314560439560439
test,metric/the_pile_pubmed_abstracts_val_loss,256,0.6932965529225276,0.31584169785863436,0.24662655317357052,0.8699030098420689
test_60m,metric/the_pile_pubmed_abstracts_val_loss,256,-5.779292964213292,1.424262522544253,1.3923601915336155,0.8722419317921719
test_1b,metric/the_pile_pubmed_abstracts_val_loss,64,-618.0330355617947,2.813719586278728,2.807579094766544,0.8653388278388278
test,metric/the_pile_uspto_backgrounds_val_loss,256,0.820700629343108,0.21598898885667098,0.1708881766890162,0.8994299324788279
test_60m,metric/the_pile_uspto_backgrounds_val_loss,256,-9.875418045400897,1.425506045496394,1.4105581745380698,0.893725680933852
test_1b,metric/the_pile_uspto_backgrounds_val_loss,64,-369.0512961578153,2.702006826129707,2.6972508222873124,0.9603021978021976
