domain,keyword_1,keyword_2,keyword_3,sample_rows,mean_text_chars,permitted_use
arxiv,abstract,latex,formula,1719,47031.44,"technical domain example only; no continuous source text, no Q/conflict label"
dm_mathematics,problem,equation,remainder,1922,8194.0,"technical domain example only; no continuous source text, no Q/conflict label"
enron_emails,email,forwarded,approval,1010,1618.63,"technical domain example only; no continuous source text, no Q/conflict label"
europarl,debate,motion,translation,157,51662.87,"technical domain example only; no continuous source text, no Q/conflict label"
freelaw,statute,court,jurisdiction,5100,15762.0,"technical domain example only; no continuous source text, no Q/conflict label"
github,repository,code,license,15117,5178.68,"technical domain example only; no continuous source text, no Q/conflict label"
gutenberg_pg_19,novel,chapter,character,79,381179.59,"technical domain example only; no continuous source text, no Q/conflict label"
hackernews,technology,comment,startup,944,5180.6,"technical domain example only; no continuous source text, no Q/conflict label"
nih_exporter,research,grant,biomedical,1884,2081.35,"technical domain example only; no continuous source text, no Q/conflict label"
philpapers,philosophy,argument,citation,67,73524.07,"technical domain example only; no continuous source text, no Q/conflict label"
pile_cc,web,document,crawl,18191,4523.03,"technical domain example only; no continuous source text, no Q/conflict label"
pubmed_abstracts,abstract,clinical,study,29895,1330.45,"technical domain example only; no continuous source text, no Q/conflict label"
pubmed_central,case,method,result,2629,31267.95,"technical domain example only; no continuous source text, no Q/conflict label"
stackexchange,question,answer,code,30378,2171.4,"technical domain example only; no continuous source text, no Q/conflict label"
ubuntu_irc,chat,package,debugging,16,225242.75,"technical domain example only; no continuous source text, no Q/conflict label"
uspto_backgrounds,patent,claim,invention,11415,4139.52,"technical domain example only; no continuous source text, no Q/conflict label"
wikipedia_en,encyclopedia,reference,topic,17511,2964.62,"technical domain example only; no continuous source text, no Q/conflict label"
