Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,params_b,average,date,is_pretrained,months,predicted,scale_contribution,time_contribution
01-ai/Yi-1.5-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,25.64649419429311,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738255,11.217187500000003,40.732121749408975,34.389,25.64649419429311,2024-06-12,True,0.13141683778234087,17.5096369961549,6.573025068067498,-0.25850717223152364
01-ai/Yi-1.5-34B-32K,34.389,2024-06-12,apache-2.0,🟢 pretrained,26.72791290850813,31.186917379220468,43.38184666762572,15.40785498489426,15.100671140939594,14.07786458333333,41.21232269503546,34.389,26.72791290850813,2024-06-12,True,0.13141683778234087,17.5096369961549,6.573025068067498,-0.25850717223152364
01-ai/Yi-1.5-6B,6.061,2024-08-10,apache-2.0,🟢 pretrained,16.745698054972127,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333336,23.823507683215126,6.061,16.745698054972127,2024-08-10,True,2.0698151950718686,12.947104594287376,1.8805986163561716,-0.1286131223877184
01-ai/Yi-1.5-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,22.153901514184795,29.35843561749492,30.50071699492122,11.404833836858003,17.225950782997764,12.030989583333332,32.402482269503544,8.829,22.153901514184795,2024-06-12,True,0.13141683778234087,13.834074689059179,2.8974627609717785,-0.25850717223152364
01-ai/Yi-1.5-9B-32K,8.829,2024-06-12,apache-2.0,🟢 pretrained,19.809786285875365,23.031113002389212,28.937011582169664,10.80060422960725,14.5413870246085,10.82682291666667,30.72177895981088,8.829,19.809786285875365,2024-06-12,True,0.13141683778234087,13.834074689059179,2.8974627609717785,-0.25850717223152364
01-ai/Yi-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,22.373127018936653,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,34.389,22.373127018936653,2024-06-12,True,0.13141683778234087,17.5096369961549,6.573025068067498,-0.25850717223152364
01-ai/Yi-34B-200K,34.389,2024-06-12,apache-2.0,🟢 pretrained,20.01347533597433,15.424850507763844,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.27304964539008,34.389,20.01347533597433,2024-06-12,True,0.13141683778234087,17.5096369961549,6.573025068067498,-0.25850717223152364
01-ai/Yi-6B,6.061,2024-06-12,apache-2.0,🟢 pretrained,13.611617485376058,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,6.061,13.611617485376058,2024-06-12,True,0.13141683778234087,12.817210544443572,1.8805986163561716,-0.25850717223152364
01-ai/Yi-6B-200K,6.061,2024-06-12,apache-2.0,🟢 pretrained,11.99609829883284,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008,6.061,11.99609829883284,2024-06-12,True,0.13141683778234087,12.817210544443572,1.8805986163561716,-0.25850717223152364
01-ai/Yi-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.811867367746064,27.08779372066118,27.62695611207793,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068,8.829,17.811867367746064,2024-06-12,True,0.13141683778234087,13.834074689059179,2.8974627609717785,-0.25850717223152364
01-ai/Yi-9B-200K,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.72955178611439,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,8.829,17.72955178611439,2024-06-12,True,0.13141683778234087,13.834074689059179,2.8974627609717785,-0.25850717223152364
AI-Sweden-Models/gpt-sw3-40b,39.927,2024-06-26,other,🟢 pretrained,4.872902485288683,14.702988071649887,6.894934050796576,1.7371601208459215,0.0,2.83828125,3.064051418439715,39.927,4.872902485288683,2024-06-26,True,0.5913757700205339,17.944094258353402,6.976660013353912,-0.2276848553194343
AI4free/Dhanishtha,1.777,2025-02-19,apache-2.0,🟩 continuously pretrained,11.247711953182252,24.51240486353985,7.93648440557281,25.604229607250755,0.3355704697986553,1.951822916666666,7.145759456264774,1.777,11.247711953182252,2025-02-19,True,8.410677618069816,10.055294312408268,-1.4361193200967408,0.29629453218608526
BEE-spoke-data/smol_llama-101M-GQA,0.101,2024-07-06,apache-2.0,🟢 pretrained,4.019599868138451,13.843712460715349,3.1980040943527936,0.6042296072507553,1.0067114093959737,4.275520833333334,1.1894208037825047,0.101,4.019599868138451,2024-07-06,True,0.919917864476386,1.8016657030819636,-9.187784482569018,-0.20566891466794188
BEE-spoke-data/smol_llama-220M-GQA,0.218,2024-06-26,apache-2.0,🟢 pretrained,6.577800964187134,23.860468002677344,3.03784275772053,1.0574018126888218,0.7829977628635317,9.067708333333334,1.6603871158392434,0.218,6.577800964187134,2024-06-26,True,0.5913757700205339,3.859442735360885,-7.1079915096386035,-0.2276848553194343
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,2024-06-26,apache-2.0,🟩 continuously pretrained,6.629850832257909,19.88124842085666,2.314902449149024,0.6797583081570997,1.230425055928408,14.261718750000002,1.4110520094562635,0.218,6.629850832257909,2024-06-26,True,0.5913757700205339,3.859442735360885,-7.1079915096386035,-0.2276848553194343
BSC-LT/salamandra-7b,7.768,2024-11-22,apache-2.0,🟢 pretrained,5.704911444345451,13.673829882489574,10.157421990520298,0.3776435045317221,2.684563758389265,1.86171875,5.474290780141842,7.768,5.704911444345451,2024-11-22,True,5.486652977412731,13.846843177815582,2.5513714171088564,0.10035266038780268
BSC-LT/salamandra-7b-instruct,7.768,2024-11-22,apache-2.0,🟢 pretrained,10.181243697003833,24.507418095098785,14.688128545731288,0.8308157099697886,1.9015659955257265,10.213020833333337,8.946513002364064,7.768,10.181243697003833,2024-11-22,True,5.486652977412731,13.846843177815582,2.5513714171088564,0.10035266038780268
BramVanroy/fietje-2,2.78,2024-10-28,mit,🟩 continuously pretrained,9.140300477810824,20.980332185268423,15.603676192567876,1.5861027190332326,0.5592841163310973,5.161979166666666,10.950428486997636,2.78,9.140300477810824,2024-10-28,True,4.6652977412731005,11.01407194816978,-0.22635996090821403,0.04531280875907165
CYFRAGOVPL/Llama-PLLuM-8B-base,8.03,2025-02-28,llama3.1,🟩 continuously pretrained,14.51887667865397,28.98874985039695,20.21873797779148,3.625377643504532,4.697986577181204,10.062239583333335,19.52016843971631,8.03,14.51887667865397,2025-02-28,True,8.706365503080082,14.152270247153501,2.641042268062149,0.31610887877242844
CYFRAGOVPL/PLLuM-12B-base,12.248,2025-02-28,apache-2.0,🟩 continuously pretrained,14.667469455106152,28.20937335159599,21.240801542833136,2.8700906344410875,5.369127516778524,10.979947916666667,19.335475768321512,12.248,14.667469455106152,2025-02-28,True,8.706365503080082,15.293512979381248,3.7822850002898956,0.31610887877242844
